Place	Municipality	Population	Women	Men	0-17	18-64	65.0	Married	Single	Foreign Background	Foreign Born	Foreign National	Average Age	County
Alingsås	7	36739	50.8	49.2	22.0	59.9	18.1	37.2	8.9	10.8	8.6	3.6	41.3	12
Bengtsfors	9	9957	49.1	50.9	18.1	57.0	24.9	35.7	8.3	11.9	10.3	6.8	46.3	12
Bollebygd	2	8193	49.6	50.4	23.8	60.8	15.4	39.4	7.6	8.7	6.7	2.8	40.3	12
Borås	3	100985	51.0	49.0	21.0	61.0	18.0	34.4	9.5	23.0	17.1	6.4	40.9	12
Dals-Ed	5	4835	48.8	51.2	20.7	58.5	20.7	31.9	9.4	14.7	13.1	9.9	43.1	12
Essunga	4	5638	49.7	50.3	21.1	58.6	20.3	35.8	7.9	6.3	5.3	2.7	43.0	12
Falköping	7	31311	50.2	49.8	21.4	57.7	20.8	35.4	7.6	9.5	7.7	3.2	42.4	12
Färgelanda	9	6770	48.2	51.8	21.2	58.3	20.5	33.9	9.1	8.2	6.8	3.8	43.4	12
Grästorp	4	5831	49.4	50.6	21.8	58.8	19.4	35.8	7.9	6.9	5.2	3.2	42.6	12
Gullspång	9	5425	49.1	50.9	18.9	57.6	23.4	37.6	8.7	10.8	9.4	6.0	45.7	12
Göteborg	1	493502	50.5	49.5	19.1	66.3	14.7	29.8	10.5	27.9	20.9	8.1	39.2	12
Götene	6	13056	49.1	50.9	22.5	58.8	18.7	39.4	7.8	9.2	7.5	3.4	42.1	12
Herrljunga	6	9304	48.9	51.1	21.4	59.3	19.3	37.7	8.1	10.1	8.1	3.4	42.4	12
Hjo	9	8809	50.3	49.7	21.0	58.3	20.6	35.7	9.3	6.4	5.3	2.3	43.2	12
Härryda	2	32969	49.6	50.4	26.7	60.2	13.1	39.1	7.5	12.9	9.7	4.1	37.9	12
Karlsborg	9	6850	49.9	50.1	18.7	57.9	23.4	38.8	8.4	5.0	4.5	2.4	45.5	12
Kungälv	2	39649	50.1	49.9	22.9	59.9	17.1	38.6	8.4	9.8	7.7	2.6	40.5	12
Lerum	2	37711	50.3	49.7	26.6	58.7	14.6	39.9	8.0	10.9	8.5	3.3	38.6	12
Lidköping	7	37773	50.4	49.6	21.5	59.5	19.0	36.6	7.7	9.1	7.2	2.3	41.8	12
Lilla Edet	2	12835	48.5	51.5	22.4	61.2	16.3	35.0	9.7	16.5	12.6	6.2	41.1	12
Lysekil	8	14633	50.1	49.9	19.0	58.0	23.1	39.6	9.6	10.0	8.5	4.0	45.1	12
Mariestad	8	23871	50.0	50.0	20.3	58.2	21.4	37.5	8.4	10.9	8.8	3.9	43.4	12
Mark	7	33729	50.2	49.8	22.6	58.1	19.3	37.9	7.9	11.7	9.0	3.4	41.8	12
Mellerud	9	9553	49.0	51.0	19.6	56.5	24.0	37.0	9.7	12.5	10.7	6.4	45.1	12
Munkedal	4	10256	49.0	51.0	20.7	58.0	21.3	36.3	9.2	8.5	7.1	4.0	43.5	12
Mölndal	2	59430	50.4	49.6	23.3	62.0	14.7	35.6	8.8	16.6	12.7	4.5	38.9	12
Orust	4	15373	49.3	50.7	19.8	59.3	20.8	39.9	9.3	6.4	5.5	2.5	44.1	12
Partille	2	33699	50.3	49.7	25.0	60.0	15.0	37.8	8.7	18.2	13.5	4.4	39.1	12
Skara	8	18544	50.9	49.1	21.5	59.7	18.8	35.0	8.3	10.5	8.1	3.3	41.6	12
Skövde	7	50197	50.2	49.8	20.3	62.3	17.3	34.4	8.3	14.4	10.9	4.2	40.6	12
Sotenäs	6	9280	50.2	49.8	17.7	57.6	24.7	40.2	9.9	7.5	6.8	3.6	46.5	12
Stenungsund	4	23389	49.7	50.3	24.6	60.1	15.4	37.6	9.1	10.1	8.3	3.4	39.3	12
Strömstad	9	11558	50.1	49.9	19.5	60.2	20.3	35.5	9.6	21.5	19.0	14.3	43.2	12
Svenljunga	6	10431	49.5	50.5	21.5	58.5	20.0	37.3	8.4	12.4	9.9	5.3	43.1	12
Tanum	9	12246	49.9	50.1	19.0	58.6	22.4	37.3	9.8	9.5	8.5	5.2	44.8	12
Tibro	6	10611	49.6	50.4	21.3	57.8	20.8	38.7	7.2	11.3	9.1	3.5	42.8	12
Tidaholm	8	12651	50.1	49.9	21.4	57.9	20.6	35.0	7.8	8.8	7.2	3.3	42.5	12
Tjörn	2	14944	48.8	51.2	21.0	59.5	19.5	41.8	8.4	6.9	5.7	2.5	43.0	12
Tranemo	6	11750	48.7	51.3	21.8	58.1	20.1	38.9	7.4	14.3	11.3	4.9	42.6	12
Trollhättan	3	54300	49.7	50.3	22.0	60.8	17.2	34.4	9.3	20.8	15.2	6.3	40.4	12
Töreboda	9	9376	49.3	50.7	20.5	58.8	20.8	37.0	7.8	8.7	7.5	4.6	43.5	12
Uddevalla	7	50921	50.7	49.3	21.2	59.5	19.3	34.8	9.8	13.9	10.9	4.6	41.7	12
Ulricehamn	6	22542	49.8	50.2	21.6	58.2	20.3	37.3	7.8	10.0	8.0	3.4	42.7	12
Vara	6	16008	48.9	51.1	20.7	58.4	20.9	34.8	7.8	7.4	6.1	3.1	43.1	12
Vårgårda	6	10988	49.4	50.6	23.9	60.2	16.0	37.3	7.4	10.7	8.4	4.0	39.8	12
Vänersborg	4	36939	50.2	49.8	21.3	59.1	19.6	36.2	9.0	10.4	8.2	3.4	42.0	12
Åmål	8	12589	50.8	49.2	20.1	56.4	23.5	34.7	9.3	10.5	8.8	4.4	44.4	12
Öckerö	2	12256	49.6	50.4	23.9	58.3	17.8	43.2	7.3	4.6	3.9	1.5	41.0	12
Värmlands county		273826	50.2	49.8	19.9	59.7	20.4	33.0	9.6	10.4	8.8	4.9	43.0	13
Arvika	7	26250	50.2	49.8	19.5	58.9	21.7	33.1	9.8	11.0	9.4	5.6	43.7	13
Eda	9	8649	49.1	50.9	19.5	58.3	22.2	33.2	10.2	24.2	22.1	20.2	44.4	13
Filipstad	9	10782	50.1	49.9	18.4	57.0	24.6	31.2	10.3	10.3	8.5	4.7	46.0	13
Forshaga	4	11444	50.0	50.0	23.3	58.2	18.4	35.5	9.3	7.0	6.0	3.1	41.4	13
Grums	6	9302	50.0	50.0	20.3	58.9	20.8	34.0	9.8	8.8	7.5	3.7	43.6	13
Hagfors	8	12993	49.4	50.6	17.6	56.5	26.0	35.8	9.9	8.6	7.6	4.9	46.7	13
Hammarö	4	14547	49.6	50.4	24.9	59.7	15.4	36.5	8.3	7.2	5.7	2.2	40.0	13
Karlstad	3	83641	51.0	49.0	19.0	63.3	17.7	30.9	9.9	11.4	9.2	3.8	41.0	13
Kil	4	11748	50.0	50.0	22.7	59.4	17.9	35.4	8.9	6.9	5.8	2.7	41.6	13
Kristinehamn	8	23906	50.4	49.6	19.1	59.1	21.8	34.9	10.7	10.0	8.1	4.0	44.3	13
Munkfors	9	3880	50.4	49.6	18.0	55.2	26.8	31.0	11.6	7.3	6.5	4.1	46.1	13
Storfors	4	4495	48.8	51.2	20.4	58.7	20.9	36.7	10.2	17.0	13.2	6.8	44.1	13
Sunne	8	13566	49.9	50.1	21.0	57.6	21.3	31.3	8.6	6.3	5.5	3.3	43.3	13
Säffle	8	15868	49.6	50.4	20.1	56.6	23.3	36.2	8.4	7.7	6.7	4.1	44.5	13
Torsby	5	12878	49.5	50.5	17.9	56.9	25.2	28.9	9.3	8.7	8.0	5.6	46.0	13
Årjäng	5	9877	49.4	50.6	20.8	58.1	21.1	34.6	8.4	17.9	16.1	13.7	43.4	13
Örebro county		276067	50.5	49.5	20.8	60.6	18.6	34.1	9.5	15.0	11.4	4.4	41.7	14
Askersund	9	11394	50.0	50.0	19.8	58.0	22.2	36.5	9.6	6.1	4.9	2.0	44.6	14
Degerfors	9	9903	49.2	50.8	20.0	58.4	21.6	36.0	9.5	12.7	10.1	4.0	44.4	14
Hallsberg	8	15268	49.1	50.9	21.1	59.6	19.3	36.6	8.6	10.7	8.8	3.8	42.5	14
Hällefors	9	7475	50.0	50.0	18.2	55.7	26.0	34.1	9.7	17.1	14.0	7.1	45.9	14
Karlskoga	7	29988	50.3	49.7	19.5	58.6	22.0	35.1	9.6	14.8	11.3	3.7	43.8	14
Kumla	4	19852	50.4	49.6	23.7	59.6	16.6	35.1	8.6	11.6	9.1	3.9	40.2	14
Laxå	6	5922	49.1	50.9	18.7	57.5	23.8	38.5	8.6	13.0	10.4	3.9	45.5	14
Lekeberg	4	7097	48.3	51.7	22.0	60.0	18.0	37.2	8.5	4.6	3.7	1.3	41.7	14
Lindesberg	8	23104	49.3	50.7	20.7	59.2	20.2	35.3	9.2	11.9	9.6	4.6	43.2	14
Ljusnarsberg	9	5188	48.8	51.2	18.1	56.4	25.6	32.6	12.4	13.7	10.4	4.5	46.7	14
Nora	9	10447	51.1	48.9	21.6	57.8	20.6	36.1	9.8	10.7	8.9	4.1	43.2	14
Örebro	3	130429	51.3	48.7	21.0	62.8	16.2	32.3	9.8	18.4	13.6	4.9	39.9	14
Västmanlands county		249193	50.2	49.8	20.8	60.4	18.8	35.0	9.9	20.2	15.1	5.8	41.8	15
Arboga	8	13369	50.2	49.8	20.3	57.9	21.8	36.1	9.2	11.1	8.7	3.5	43.7	15
Fagersta	6	12183	50.0	50.0	18.9	58.1	23.0	34.1	9.9	23.8	17.7	6.9	44.4	15
Hallstahammar	8	15040	50.2	49.8	21.0	58.0	21.1	37.1	9.1	22.4	16.8	7.7	43.1	15
Kungsör	4	8219	49.7	50.3	21.8	59.0	19.2	37.9	8.8	15.2	11.5	4.5	42.5	15
Köping	8	24646	49.8	50.2	19.5	60.1	20.4	35.0	10.2	19.6	14.9	5.5	43.2	15
Norberg	4	5788	49.4	50.6	20.0	59.2	20.8	34.3	11.0	13.1	10.0	4.1	44.2	15
Sala	8	21412	50.5	49.5	20.6	59.5	19.9	34.6	9.9	10.4	8.0	3.2	42.9	15
Skinnskatteberg	9	4686	49.0	51.0	19.0	59.3	21.7	36.5	9.8	18.0	13.7	7.2	44.5	15
Surahammar	6	10122	49.1	50.9	21.9	58.9	19.1	38.4	8.5	24.4	18.0	6.8	42.4	15
Västerås	3	133728	50.4	49.6	21.2	61.6	17.2	34.4	10.2	22.5	16.8	6.2	40.6	15
Dalarnas county		275618	50.0	50.0	20.3	59.4	20.3	33.3	9.6	9.4	7.5	3.6	43.0	16
Avesta	8	21886	49.8	50.2	18.7	59.6	21.7	34.2	9.8	11.9	9.5	3.7	44.1	16
Borlänge	7	47756	49.7	50.3	21.0	61.3	17.7	31.7	10.1	14.3	11.0	5.8	41.0	16
Falun	3	55220	50.7	49.3	21.4	61.0	17.6	33.5	9.2	8.7	7.1	3.1	41.3	16
Gagnef	4	10111	49.4	50.6	23.1	57.9	19.1	37.5	7.9	7.8	5.2	2.6	42.2	16
Hedemora	8	15301	50.4	49.6	20.0	58.8	21.2	33.2	10.1	10.7	8.4	4.3	43.9	16
Leksand	8	15338	50.6	49.4	20.0	57.9	22.1	35.8	9.5	6.0	5.1	2.2	44.3	16
Ludvika	7	25425	50.2	49.8	19.0	58.0	23.1	33.2	10.9	11.6	9.2	3.7	44.7	16
Malung-Sälen	5	10428	49.0	51.0	19.0	59.0	22.0	30.1	8.9	7.7	6.9	4.3	44.3	16
Mora	8	20143	50.2	49.8	20.1	59.1	20.8	32.1	9.1	5.5	4.8	2.3	43.7	16
