Place	Municipality	Population	Women	Men	0-17	18-64	65.0	Married	Single	Foreign Background	Foreign Born	Foreign National	Average Age	County
Gällivare	5	18860	48.3	51.7	18.7	59.7	21.6	30.3	9.0	7.0	6.1	3.3	44.1	21
Haparanda	9	10192	48.7	51.3	19.5	59.5	21.0	32.5	11.6	50.0	39.2	28.2	43.9	21
Jokkmokk	5	5406	49.3	50.7	18.0	59.0	23.0	32.1	9.2	7.1	6.4	3.6	45.5	21
Kalix	8	17283	49.0	51.0	19.3	58.0	22.6	36.0	8.6	10.9	8.7	4.7	44.4	21
Kiruna	8	23122	48.6	51.4	21.1	60.5	18.4	32.2	8.4	10.3	8.4	4.0	41.9	21
Luleå	3	73146	49.6	50.4	19.8	63.6	16.5	31.5	9.0	10.1	8.3	4.5	40.7	21
Pajala	5	6522	47.5	52.5	17.9	51.9	30.2	35.1	7.4	12.6	11.4	4.8	48.2	21
Piteå	7	40961	49.9	50.1	20.8	61.2	18.0	36.1	8.2	4.8	4.1	1.6	41.7	21
Älvsbyn	5	8545	49.4	50.6	20.3	57.3	22.3	36.4	8.1	5.9	5.0	3.1	43.8	21
Överkalix	5	3795	48.6	51.4	16.6	55.1	28.3	35.2	7.9	6.3	5.6	3.2	47.8	21
Övertorneå	5	5092	47.6	52.4	18.9	55.2	26.0	38.4	7.1	26.3	22.9	13.4	46.3	21
														
Municipality Groups														22
Storstäder	1	1569466	51.0	49.0	19.0	66.3	14.7	28.9	10.9	29.4	22.2	9.3	39.4	22
Förortskommuner	2	1436750	50.3	49.7	24.5	61.2	14.4	36.4	9.3	20.8	15.7	6.6	38.8	22
Större städer	3	2528609	50.5	49.5	20.6	62.4	16.9	33.4	9.1	16.5	12.7	5.1	40.4	22
Pendlingskommuner	4	592864	49.8	50.2	22.9	59.7	17.4	37.0	9.0	11.8	9.2	4.2	41.0	22
Glesbygdskommuner	5	298858	49.2	50.8	19.4	57.1	23.5	32.8	8.4	6.9	6.1	3.7	44.9	22
Varuprod. kommuner	6	586400	49.5	50.5	21.2	58.4	20.4	37.9	7.9	13.9	11.1	4.7	42.7	22
Övriga, > 25 000 inv.	7	1256796	50.3	49.7	20.6	59.5	19.9	35.5	9.4	11.5	9.1	3.9	42.5	22
Övr, 12 500 - 25 000 inv.	8	647470	49.9	50.1	20.0	58.3	21.7	35.7	9.1	10.3	8.4	4.0	43.8	22
Övriga, < 12 500 inv.	9	265714	49.6	50.4	19.9	57.7	22.4	36.1	9.2	11.6	9.7	5.8	44.5	22
														
Distribution Measurements														
    Max		795163	52.2	52.5	28.6	68.2	30.2	44.5	12.4	50.8	39.2	28.2	48.2	-1
    90 %		63329	50.8	51.1	24.3	61.6	24.4	39.4	10.2	22.1	16.9	7.2	45.5	-1
    75 %		32839	50.3	50.7	22.2	60.0	22.0	37.8	9.7	14.5	11.5	5.3	44.2	-1
    Median (50 %)		15285	49.8	50.2	20.9	58.8	20.3	36.2	8.9	10.7	8.6	4.0	42.8	-1
    25 %		9976	49.3	49.7	19.5	57.8	17.6	34.2	8.0	7.4	6.3	3.1	41.0	-1
    10 %		6520	48.9	49.2	18.7	56.5	14.7	31.7	7.4	5.6	5.0	2.4	39.0	-1
    Min		2549	47.5	47.8	15.6	50.7	10.3	25.6	5.6	3.8	3.4	1.3	36.1	-1
